sapsali,1
pungsan dog,3
afghan hound,4
akita inu,6
alaskan malamute,7
basset hound,12
beagle,13
bernese mountain dog,17
bichon,18
border collie,20
boston terrier,22
brittany,25
bull terrier,26
bulldog,27
cane corso,28
king charles spaniel,30
chihuahua,32
shar pei,34
chow chow,35
collie,36
dachshund,38
dalmatian,39
dobermann,41
dogo argentino,42
english cocker spaniel,44
english pointer,45
setter,46
french bulldog,50
golden retriever,54
greyhound,56
korean jindo dog,67
labrador retriever,69
maltese,72
miniature pinscher,77
papillon,85
miniature poodle,78
pekingese,87
pomeranian,89
pug,90
rottweiler,121
samoyed,96
scottish terrier,97
shetland sheepdog,99
shiba inu,100
shih tzu,101
siberian husky,103
st bernard,104
standard poodle,105
tibetan mastiff,106
toy poodle,107
welsh corgi,108
yorkshire terrier,113
street dog,114
cat,116
great pyrenees,118
german shepherd dog,122
schnauzer,123
spitz,124
cocker spaniel,125
pointer,126
poodle,128
japanese chin,129
west highland white terrier,134
american pit bull terrier,135
laika,142
wolfdog,149
malinois,152
